name	within	uri	long	lat	types
Montenegro		http://aims.fao.org/aos/geopolitical.owl#Montenegro			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Montserrat		http://aims.fao.org/aos/geopolitical.owl#Montserrat			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Morocco		http://aims.fao.org/aos/geopolitical.owl#Morocco			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Mozambique		http://aims.fao.org/aos/geopolitical.owl#Mozambique			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Myanmar		http://aims.fao.org/aos/geopolitical.owl#Myanmar			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Namibia		http://aims.fao.org/aos/geopolitical.owl#Namibia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Nauru		http://aims.fao.org/aos/geopolitical.owl#Nauru			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Nepal		http://aims.fao.org/aos/geopolitical.owl#Nepal			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Netherlands Antilles		http://aims.fao.org/aos/geopolitical.owl#Netherlands_Antilles			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Netherlands		http://aims.fao.org/aos/geopolitical.owl#Netherlands_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
New Caledonia		http://aims.fao.org/aos/geopolitical.owl#New_Caledonia			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
New Zealand		http://aims.fao.org/aos/geopolitical.owl#New_Zealand			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Nicaragua		http://aims.fao.org/aos/geopolitical.owl#Nicaragua			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Niger		http://aims.fao.org/aos/geopolitical.owl#Niger_the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
