original|improved
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE|BRAZILIAN JOURNAL OF ANIMAL SCIENCE
REVISTA DE NEUROLOGIA|REVISTA DE NEUROLOGIA
ROSENSTIEL SCH MAR ATMOS SCI|THE ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIENCE
ROYAL SOC CHEMISTRY|ROYAL SOCIETY OF CHEMISTRY
SAN DIEGO STATE UNIV|SAN DIEGO STATE UNIVERSITY
SAUDI MED J|SAUDI MEDICAL JOURNAL
SAUDI THORACIC SOC|SAUDI THORACIC SOCIETY
SCIENCE \& TECHNOLOGY NETWORK INC|SCIENCE AND TECHNOLOGY NETWORK INC
SCIENTIFIC TECHNICAL RESEARCH COUNCIL TURKEY-TUBITAK|THE SCIENTIFIC AND TECHNOLOGICAL RESEARCH COUNCIL OF TURKEY
SCI PRINTERS AND PUBL INC|SCIENCE PRINTERS AND PUBLISHERS INC
SOC ADVANCEMENT BEHAVIOR ANALYSIS|SOCIETY FOR THE ADVANCEMENT OF BEHAVIOR ANALYSIS
SOC AMER FORESTERS|SOCIETY OF AMERICAN FORESTERS
SOC APPLIED SPECTROSCOPY|SOCIETY FOR APPLIED SPECTROSCOPY
SOC BIOLGIA CHILE|THE SOCIETY OF BIOLOGY OF CHILE
SOC BRASIL ENGENHARIA AGRICOLA|SOCIETY OF BRASIL ENGENHARIA AGRICOLA
SOC BRASIL GENETICA|SOCIETY OF BRASIL GENETICA
SOC BRASILEIRA DE CIENCIA DO SOLO|BRAZILIAN SOIL SCIENCE SOCIETY
SOC BRASILEIRA FITOPATOLOGIA|SOCIEDADE BRASILEIRA DE FITOPATOLOGIA
SOC BRASILEIRA ICTIOLOGIA|BRAZILIAN SOCIETY OF ICHTHYOLOGY
SOC BRASILEIRA ZOOLOGIA, UNIV FEDERAL PARANA|SOCIETY BRASILEIRA ZOOLOGIA, UNIVERSITY FEDERAL PARANA
SOC CHILENA CIENCIA SUELO|SOCIETY OF CHILENA CIENCIA SUELO
SOC GENERAL MICROBIOLOGY|SOCIETY FOR GENERAL MICROBIOLOGY
SOC NEMATOLOGISTS|SOCIETY OF NEMATOLOGISTS
SOC NEUROSCIENCE|SOCIETY OF NEUROSCIENCE
SOC NUCLEAR MEDICINE INC|SOCIETY OF NUCLEAR MEDICINE INC
SOC QUIMICA MEXICO|JOURNAL OF THE MEXICAN CHEMICAL SOCIETY
SOC STUDY AMPHIBIANS REPTILES|SOCIETY FOR THE STUDY OF AMPHIBIANS AND REPTILES
