uri	deptid	photo	type	name	title
http://vivo.ufl.edu/individual/n81445	19060400;19060300;19060000;19060100;19069000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Kirli, Serdar	Assistant In
http://vivo.ufl.edu/individual/n814577503			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Rush,Robert A	
http://vivo.ufl.edu/individual/n8147	33000000;33010000;33010100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivoweb.org/ontology/core#Postdoc;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#NonFacultyAcademic	Rowe, Patrick Allen	Postdoctoral Associate
http://vivo.ufl.edu/individual/n8148	29040200;29040100;29040000	davies.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Davies, Laurie K	Associate Pro and Chief
http://vivo.ufl.edu/individual/n81483	17040100;17040500;17040000;16980100;17040400;16980000;17040301;16980400;17040200;16987000	ChrisMcCarty.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Mccarty, Christopher	Associate Pro
http://vivo.ufl.edu/individual/n8151	30090000;30090100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Alviedo, Neil Joseph Bautista	
http://vivo.ufl.edu/individual/n81559921			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Solomon,Ty B	
http://vivo.ufl.edu/individual/n815777092	28040200;28041500;28042100;28042400;28040102;28040101;28040100;28042000;28040000;28041700;28041900;28042300;28040300;28042200		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Nauman, Thomas	
http://vivo.ufl.edu/individual/n8159			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Cottrell,Catherine A	
http://vivo.ufl.edu/individual/n8161	17200000;17200400;17200301;17200300;17200302;17200200;17200201;17200202;17200100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Lord, Andy S	Director of Admissions
