display_name|suffix|last|uri|remove|middle|corresponding|uf|first
Nieh, Chien-Ming||Nieh||||true|true|Chien-Ming
Wei, Changyu||Wei||||false|true|Changyu
Lin, Jenshan||Lin||||false|true|Jenshan
Winfrey, A. Leigh||Winfrey|||Leigh|true|false|A
Mittal, Shawn||Mittal||||false|false|Shawn
Abd Al-Halim, Mohamed A.||Abd Al-Halim|||A|false|false|Mohamed
Yaghjyan, L.||Yaghjyan||||true|true|L
Sites, S.||Sites||||false|true|S
Ruan, Y.||Ruan||||false|true|Y
Chang, S-H||Chang||||false|true|S-H
Li, Wenhua||Li||||false|false|Wenhua
Chalam, Kakarla V.||Chalam|||V|false|true|Kakarla
